keyword,score
provozovaného divadla,4.00
strop chyběl,4.00
okny obrácenými,4.00
východní zeď,4.00
nejpodstatnějších změn,4.00
zeď jižní,4.00
krov spočíval,4.00
zmíněnou průrvou,4.00
betonovém překladu,4.00
zá zánestabilní,4.00
cihlový sloupec,4.00
b mechanizaci,4.00
vytvoření přístupu,4.00
jižní zdí,4.00
hrubým štěrkopískem,4.00
šedozelenavého betonu,4.00
drobné kousky,4.00
vyrázně odlišné,4.00
• q,4.00
střešní krytiny,4.00
naše možnosti,4.00
zcela odlišná,4.00
charakteru zásypů,4.00
odkopávání ručně,4.00
sta stasuti,4.00
něj zabíhaly,4.00
okolního prostředí,4.00
zasahovala vlastně,4.00
> —1,4.00
evidenčními čísly,4.00
letmého pohledu,4.00
celkem samozřejmý,4.00
jeví fakt,4.00
prakti praktishodoval,4.00
vyšších úrovních,4.00
jednoduché hradbě,4.00
proutěného výpletu,4.00
odebírání vrstev,4.00
dřevěných kůlech,4.00
zahroce- ný,4.00
silou zaražený,4.00
těleso valu,4.00
nutné podotknout,4.00
dokumentované situaci,4.00
úpatí valu,4.00
náhodný jev,4.00
b přinesl,4.00
jisté poznatky,4.00
pískovcovými kvádřiky,4.00
ose příčky,4.00
trámekem vedeným,4.00
severním zdivu,4.00
rozměrech 15x20,4.00
dřevěném lešení,4.00
budovami předzámčí,4.00
detail podlahy,4.00
kontrolním blokem,4.00
čtyř snímků,4.00
plochu b,4.00
tělesem valu,4.00
strojově vybírán,4.00
stratigrafie patrná,4.00
zemními stroji,4.00
zůstal zachován,4.00
ar arvrstev,4.00
novově novovězásypů,4.00
půdním pokryvu,4.00
částečném odkrytí,4.00
ro ro1993,4.00
průzkum objektu,4.00
vybrání výplně,4.00
dovoluje říci,4.00
stavební firmou,4.00
stavebních plánech,4.00
dodatečně mohlo,4.00
pořízeno několik,4.00
rozšiřování vinárny,4.00
místním terénem,4.00
dešťovou vodu,4.00
jižní stěně,4.00
recentní zásahy,4.00
zásypových vrstev,4.00
dřevěných odřezků,4.00
hloubenou rýhu,4.00
