file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX197408817,1,0,8,3,0,2
CTX197408817,2,0,42,7,0,20
CTX197408817,3,0,10,0,0,2
CTX197408817,4,1,15,14,0,0
CTX197408817,5,0,15,16,0,1
CTX197408817,6,0,9,12,0,1
CTX197408817,7,0,19,10,0,2
CTX197408817,8,0,5,16,0,2
CTX197408817,9,0,14,15,0,2
CTX197408817,10,0,23,12,0,6
CTX197408817,11,0,12,17,0,5
CTX197408817,12,0,12,15,0,6
CTX197408817,13,0,2,5,0,4
CTX197408817,14,0,16,13,0,5
CTX197408817,15,0,10,19,0,2
CTX197408817,16,0,12,19,0,1
CTX197408817,17,1,12,17,0,1
CTX197408817,18,0,12,8,0,0
CTX197408817,19,0,15,15,0,1
CTX197408817,20,0,20,10,0,1
CTX197408817,21,0,9,10,0,3
CTX197408817,22,0,27,9,0,1
CTX197408817,23,0,17,11,0,5
CTX197408817,24,0,28,9,0,57
CTX197408817,25,0,29,6,0,96
CTX197408817,26,0,24,4,0,70
CTX197408817,27,0,27,7,0,64
CTX197408817,28,0,21,8,0,35
CTX197408817,29,0,28,7,0,92
CTX197408817,30,0,20,4,0,44
CTX197408817,31,0,24,3,0,43
CTX197408817,32,0,34,6,0,64
CTX197408817,33,0,27,3,0,67
CTX197408817,34,0,11,3,0,50
CTX197408817,35,0,29,4,0,83
CTX197408817,36,0,8,1,0,11
CTX197408817,37,0,28,8,0,56
CTX197408817,38,0,30,8,0,63
CTX197408817,39,0,29,7,0,110
CTX197408817,40,0,38,6,0,92
CTX197408817,41,0,24,6,0,77
CTX197408817,42,0,10,3,0,42
CTX197408817,43,0,33,7,0,88
CTX197408817,44,0,21,4,0,91
CTX197408817,45,0,30,5,0,113
CTX197408817,46,0,26,3,0,80
CTX197408817,47,0,31,8,0,77
CTX197408817,48,0,18,3,0,38
CTX197408817,49,0,25,7,0,37
CTX197408817,50,0,32,8,0,112
CTX197408817,51,0,42,5,0,117
CTX197408817,52,0,25,4,0,66
CTX197408817,53,0,35,6,0,68
CTX197408817,54,0,18,2,0,44
CTX197408817,55,0,22,9,0,74
CTX197408817,56,0,30,10,0,71
CTX197408817,57,0,35,7,0,128
CTX197408817,58,0,30,2,0,74
CTX197408817,59,0,20,4,0,89
CTX197408817,60,0,24,6,0,79
CTX197408817,61,0,38,7,0,64
CTX197408817,62,0,21,6,0,101
CTX197408817,63,0,33,7,0,66
CTX197408817,64,0,23,8,0,65
CTX197408817,65,0,26,6,0,82
CTX197408817,66,0,29,8,0,111
CTX197408817,67,0,25,4,0,67
CTX197408817,68,0,28,4,0,71
CTX197408817,69,0,17,4,0,57
CTX197408817,70,0,29,8,0,102
CTX197408817,71,0,25,4,0,78
CTX197408817,72,0,29,4,0,83
CTX197408817,73,0,33,7,0,48
CTX197408817,74,0,41,2,0,48
CTX197408817,75,0,25,8,0,95
CTX197408817,76,0,22,1,0,32
CTX197408817,77,0,22,5,0,65
CTX197408817,78,0,46,4,0,99
CTX197408817,79,0,27,4,0,92
CTX197408817,80,0,38,2,0,46
CTX197408817,81,0,15,6,0,60
CTX197408817,82,0,32,3,0,56
CTX197408817,83,0,28,5,0,75
CTX197408817,84,0,40,5,0,52
CTX197408817,85,0,23,6,0,112
CTX197408817,86,0,32,8,0,108
CTX197408817,87,0,20,5,0,113
CTX197408817,88,0,25,6,0,104
CTX197408817,89,0,38,6,0,83
CTX197408817,90,0,30,11,0,119
