file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX196802433,1,0,6,5,0,1
CTX196802433,2,0,46,12,0,39
CTX196802433,3,0,12,2,0,0
CTX196802433,4,2,14,14,0,0
CTX196802433,5,0,11,19,0,0
CTX196802433,6,0,15,14,0,1
CTX196802433,7,0,11,21,0,0
CTX196802433,8,0,7,24,0,0
CTX196802433,9,0,14,18,0,0
CTX196802433,10,0,11,9,0,0
CTX196802433,11,0,11,21,0,0
CTX196802433,12,0,9,21,0,0
CTX196802433,13,0,11,19,0,0
CTX196802433,14,0,8,22,0,0
CTX196802433,15,0,9,21,0,1
CTX196802433,16,0,8,22,0,0
CTX196802433,17,0,6,24,0,0
CTX196802433,18,0,7,22,0,0
CTX196802433,19,0,3,22,0,0
CTX196802433,20,0,10,18,0,0
CTX196802433,21,0,13,17,0,2
CTX196802433,22,0,2,4,0,1
CTX196802433,23,0,13,14,0,0
CTX196802433,24,0,3,2,0,0
CTX196802433,25,1,14,13,0,0
CTX196802433,26,0,8,19,0,0
CTX196802433,27,0,10,18,0,0
CTX196802433,28,0,12,17,0,0
CTX196802433,29,0,7,22,0,1
CTX196802433,30,0,15,15,0,0
CTX196802433,31,0,5,10,0,0
CTX196802433,32,0,13,17,0,1
CTX196802433,33,0,6,24,0,0
CTX196802433,34,1,11,20,0,0
CTX196802433,35,0,8,23,0,0
CTX196802433,36,0,10,19,0,1
CTX196802433,37,0,12,17,0,1
CTX196802433,38,0,12,17,0,1
CTX196802433,39,0,9,22,0,0
CTX196802433,40,1,11,17,0,0
CTX196802433,41,0,4,3,0,0
CTX196802433,42,0,14,17,0,0
CTX196802433,43,0,6,23,0,0
CTX196802433,44,0,10,14,0,0
CTX196802433,45,0,14,17,0,0
CTX196802433,46,0,11,20,0,0
CTX196802433,47,0,8,22,0,0
CTX196802433,48,0,8,21,0,1
CTX196802433,49,0,5,24,0,1
CTX196802433,50,0,13,16,0,0
CTX196802433,51,0,14,17,0,0
CTX196802433,52,0,9,11,0,0
CTX196802433,53,0,10,19,0,0
CTX196802433,54,0,3,1,0,0
CTX196802433,55,0,17,14,0,2
CTX196802433,56,0,4,8,0,1
CTX196802433,57,0,14,15,0,0
CTX196802433,58,0,4,3,0,0
CTX196802433,59,0,8,20,0,1
CTX196802433,60,0,8,21,0,0
CTX196802433,61,0,8,18,0,1
CTX196802433,62,0,9,20,0,0
CTX196802433,63,0,7,22,0,1
CTX196802433,64,0,11,18,0,0
CTX196802433,65,0,4,24,0,0
CTX196802433,66,0,5,24,0,0
CTX196802433,67,0,3,27,0,0
CTX196802433,68,0,8,19,0,1
CTX196802433,69,0,24,12,0,2
CTX196802433,70,0,35,3,0,0
CTX196802433,71,0,49,5,0,8
CTX196802433,72,0,15,20,0,4
CTX196802433,73,0,46,10,0,1
CTX196802433,74,1,17,15,0,5
CTX196802433,75,0,16,17,0,4
CTX196802433,76,0,18,16,0,4
CTX196802433,77,0,14,18,0,6
CTX196802433,78,0,17,15,0,4
CTX196802433,79,0,17,19,0,3
CTX196802433,80,0,8,25,0,5
CTX196802433,81,0,15,18,0,7
CTX196802433,82,1,13,21,0,2
CTX196802433,83,0,18,14,0,5
CTX196802433,84,0,12,18,0,5
CTX196802433,85,1,12,12,0,4
CTX196802433,86,0,52,20,0,20
CTX196802433,87,0,47,15,0,6
CTX196802433,88,0,49,16,0,12
CTX196802433,89,0,42,9,0,3
CTX196802433,90,1,68,26,0,26
CTX196802433,91,0,68,19,0,14
CTX196802433,92,2,64,23,0,23
CTX196802433,93,0,58,19,0,6
CTX196802433,94,1,65,24,0,29
CTX196802433,95,0,38,13,0,9
CTX196802433,96,0,55,23,0,26
CTX196802433,97,0,56,26,0,26
CTX196802433,98,0,67,15,0,20
CTX196802433,99,0,51,21,0,18
CTX196802433,100,0,57,9,0,43
CTX196802433,101,0,55,16,0,3
CTX196802433,102,0,40,16,0,0
CTX196802433,103,0,52,12,0,23
CTX196802433,104,0,55,18,0,28
CTX196802433,105,0,49,12,0,21
CTX196802433,106,1,51,17,0,29
CTX196802433,107,0,22,16,0,56
CTX196802433,108,0,12,2,0,21
CTX196802433,109,0,1,0,0,2
CTX196802433,110,0,3,0,0,0
CTX196802433,111,0,3,0,0,0
CTX196802433,112,0,3,0,0,0
CTX196802433,113,0,3,0,0,1
CTX196802433,114,0,3,0,0,1
CTX196802433,115,0,3,0,0,1
CTX196802433,116,0,3,0,0,0
CTX196802433,117,0,3,0,0,1
CTX196802433,118,0,3,0,0,1
CTX196802433,119,0,2,0,0,1
CTX196802433,120,0,3,0,0,0
CTX196802433,121,0,3,0,0,1
CTX196802433,122,0,3,0,0,1
CTX196802433,123,0,3,0,0,1
CTX196802433,124,0,3,0,0,0
CTX196802433,125,0,3,0,0,0
CTX196802433,126,0,3,0,0,1
CTX196802433,127,0,3,0,0,0
CTX196802433,128,0,3,0,0,0
CTX196802433,129,0,3,0,0,0
CTX196802433,130,0,3,0,0,0
CTX196802433,131,0,3,0,0,0
CTX196802433,132,0,3,0,0,1
CTX196802433,133,0,3,0,0,0
CTX196802433,134,0,3,0,0,1
CTX196802433,135,0,3,0,0,0
CTX196802433,136,0,3,0,0,0
CTX196802433,137,0,3,0,0,0
CTX196802433,138,0,3,0,0,1
CTX196802433,139,0,4,0,0,0
CTX196802433,140,0,3,0,0,0
CTX196802433,141,0,3,0,0,0
CTX196802433,142,0,3,0,0,1
CTX196802433,143,0,3,0,0,0
CTX196802433,144,0,3,0,0,0
CTX196802433,145,0,3,0,0,1
CTX196802433,146,0,3,0,0,2
CTX196802433,147,0,3,0,0,1
CTX196802433,148,0,3,0,0,0
CTX196802433,149,0,3,0,0,0
CTX196802433,150,0,3,0,0,0
CTX196802433,151,0,3,0,0,1
CTX196802433,152,0,3,0,0,0
CTX196802433,153,0,3,0,0,1
CTX196802433,154,0,3,0,0,1
CTX196802433,155,0,3,0,0,0
CTX196802433,156,0,3,0,0,2
CTX196802433,157,0,3,0,0,1
CTX196802433,158,0,3,0,0,1
CTX196802433,159,0,3,0,0,0
CTX196802433,160,0,3,0,0,0
CTX196802433,161,0,3,0,0,0
CTX196802433,162,0,3,0,0,0
CTX196802433,163,0,2,0,0,0
CTX196802433,164,0,1,0,0,0
CTX196802433,165,0,1,0,0,2
CTX196802433,166,0,0,0,0,2
CTX196802433,167,0,2,0,0,1
CTX196802433,168,0,2,0,0,1
CTX196802433,169,0,4,0,0,6
CTX196802433,170,0,2,0,0,0
CTX196802433,171,0,2,0,0,1
CTX196802433,172,0,1,0,0,0
CTX196802433,173,0,2,0,0,0
CTX196802433,174,0,1,0,0,0
CTX196802433,175,0,2,0,0,0
CTX196802433,176,0,1,0,0,1
CTX196802433,177,0,1,1,0,1
CTX196802433,178,0,1,0,0,0
CTX196802433,179,0,2,0,0,1
CTX196802433,180,0,2,0,0,1
CTX196802433,181,0,2,0,0,1
CTX196802433,182,0,1,0,0,0
CTX196802433,183,0,1,0,0,0
CTX196802433,184,0,1,0,0,1
CTX196802433,185,0,3,0,0,0
CTX196802433,186,0,2,0,0,1
CTX196802433,187,0,2,0,0,1
CTX196802433,188,0,1,0,0,2
CTX196802433,189,0,1,0,0,2
CTX196802433,190,0,2,0,0,0
CTX196802433,191,0,2,0,0,2
CTX196802433,192,0,1,0,0,0
CTX196802433,193,0,1,0,0,1
CTX196802433,194,0,1,0,0,3
CTX196802433,195,0,2,0,0,3
CTX196802433,196,0,1,0,0,2
CTX196802433,197,0,1,0,0,0
CTX196802433,198,0,2,0,0,3
CTX196802433,199,0,1,0,0,0
CTX196802433,200,0,1,0,0,1
CTX196802433,201,0,2,0,0,2
CTX196802433,202,0,2,0,0,3
CTX196802433,203,0,1,0,0,0
CTX196802433,204,0,1,1,0,0
